"name","genre"
"Mayday Parade","punk"
"Simple Plan","punk"
"The Black Keys","punk"
"Bowling For Soup","punk"
"Taking Back Sunday","punk"
"The All-American Rejects","punk"
"The Used","punk"
"Set It Off","punk"
"Dropkick Murphys","punk"
"The Clash","punk"
"The Smiths","punk"
"Misfits","punk"
"Ramones","punk"
"Good Charlotte","punk"
"Sleeping With Sirens","punk"
"Waterparks","punk"
"Brand New","punk"
"Bad Religion","punk"
"NOFX","punk"
"New Found Glory","punk"
"Plain White T's","punk"
"Alkaline Trio","punk"
"AFI","punk"
"We The Kings","punk"
"Yellowcard","punk"
"Joan Jett & The Blackhearts","punk"
"Rancid","punk"
"Coheed and Cambria","punk"
"The White Stripes","punk"
"Hot Chelle Rae","punk"
"The Story So Far","punk"
"Social Distortion","punk"
"Jimmy Eat World","punk"
"Frank Sinatra","easy listening"
"Dean Martin","easy listening"
"Tony Bennett","easy listening"
"Paul Anka","easy listening"
"Bing Crosby","easy listening"
"Richard Clayderman","easy listening"
"Bobby Darin","easy listening"
"Herb Alpert & The Tijuana Brass","easy listening"
"Doris Day","easy listening"
"Andy Williams","easy listening"
"Perry Como","easy listening"
"Glenn Miller","easy listening"
"Boston Pops Orchestra","easy listening"
"Henry Mancini","easy listening"
"Julie London","easy listening"
"The Platters","easy listening"
"Ray Conniff","easy listening"
"Engelbert Humperdinck","easy listening"
"Peggy Lee","easy listening"
"Johnny Mathis","easy listening"
"André Rieu","easy listening"
"Sammy Davis Jr.","easy listening"
"Bobby Vinton","easy listening"
"Brenda Lee","easy listening"
"Connie Francis","easy listening"
"Arthur Fiedler","easy listening"
"Percy Faith & His Orchestra","easy listening"
"Jimmy Durante","easy listening"
"Jerry Vale","easy listening"
"Shirley Bassey","easy listening"
"Wayne Newton","easy listening"
"Burt Bacharach","easy listening"
"101 Strings Orchestra","easy listening"
"Tommy Dorsey","easy listening"
"Paul Mauriat","easy listening"
"Rosemary Clooney","easy listening"
"The Ray Charles Singers","easy listening"
"Jackie Gleason","easy listening"
"Franck Pourcel","easy listening"
"Martin Denny","easy listening"
"Fausto Papetti","easy listening"
"Mel Tormé","easy listening"
"Patti Page","easy listening"
"James Last","easy listening"
"Matt Monro","easy listening"
"Jo Stafford","easy listening"
"Petula Clark","easy listening"
"Floyd Cramer","easy listening"
"Al Martino","easy listening"
"Les Baxter","easy listening"
